ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,77.90825233333334,-2.3006967850453264,156.0248525729806,77.90825233333334,77.90825233333334,5.06909492295117,5.06909492295117,5.06909492295117,107.59944708333333,107.59944708333333,107.59944708333333,-6.467741563713959,-6.467741563713959,-6.467741563713959,-96.06261059666821,-96.06261059666821,-96.06261059666821,0.0,0.0,0.0,82.9773472562845
2016-01-02,77.89928732843322,7.40245361220212,164.73050797645345,77.89928732843322,77.89928732843322,8.219195689543639,8.219195689543639,8.219195689543639,107.59944708333333,107.59944708333333,107.59944708333333,-3.5089759214479153,-3.5089759214479153,-3.5089759214479153,-95.87127547234178,-95.87127547234178,-95.87127547234178,0.0,0.0,0.0,86.11848301797686
2016-01-03,77.89032232353311,8.251578580736142,173.25591981236337,77.89032232353311,77.89032232353311,13.287127540235108,13.287127540235108,13.287127540235108,107.59944708333333,107.59944708333333,107.59944708333333,1.312766853156226,1.312766853156226,1.312766853156226,-95.62508639625446,-95.62508639625446,-95.62508639625446,0.0,0.0,0.0,91.17744986376822
2016-01-04,77.881357318633,6.001602458326173,171.02751448475328,77.881357318633,77.881357318633,9.28318930684189,9.28318930684189,9.28318930684189,107.59944708333333,107.59944708333333,107.59944708333333,-2.997441708237387,-2.997441708237387,-2.997441708237387,-95.31881606825405,-95.31881606825405,-95.31881606825405,0.0,0.0,0.0,87.16454662547488
2016-01-05,77.87239231373289,9.512652271503434,164.35381698506302,77.87239231373289,77.87239231373289,9.491385868107862,9.491385868107862,9.491385868107862,107.59944708333333,107.59944708333333,107.59944708333333,-3.160557024309542,-3.160557024309542,-3.160557024309542,-94.94750419091592,-94.94750419091592,-94.94750419091592,0.0,0.0,0.0,87.36377818184076
2016-01-06,77.86342730883277,20.492126925482182,179.00282922853086,77.86342730883277,77.86342730883277,20.420226463261912,20.420226463261912,20.420226463261912,107.59944708333333,107.59944708333333,107.59944708333333,7.3274411166398945,7.3274411166398945,7.3274411166398945,-94.50666173671131,-94.50666173671131,-94.50666173671131,0.0,0.0,0.0,98.28365377209468
2016-01-07,77.85446230393265,21.30912440283815,174.3669747078205,77.85446230393265,77.85446230393265,21.10147881095401,21.10147881095401,21.10147881095401,107.59944708333333,107.59944708333333,107.59944708333333,7.494508247917179,7.494508247917179,7.494508247917179,-93.9924765202965,-93.9924765202965,-93.9924765202965,0.0,0.0,0.0,98.95594111488666
2016-01-08,77.84549729903254,6.285226979187507,165.2180341690522,77.84549729903254,77.84549729903254,7.729691889532324,7.729691889532324,7.729691889532324,107.59944708333333,107.59944708333333,107.59944708333333,-6.467741563719829,-6.467741563719829,-6.467741563719829,-93.40201363008119,-93.40201363008119,-93.40201363008119,0.0,0.0,0.0,85.57518918856486
2016-01-09,77.83653229413243,13.125394767222177,168.56048818176458,77.83653229413243,77.83653229413243,11.35706708048697,11.35706708048697,11.35706708048697,107.59944708333333,107.59944708333333,107.59944708333333,-3.5089759214785756,-3.5089759214785756,-3.5089759214785756,-92.73340408136778,-92.73340408136778,-92.73340408136778,0.0,0.0,0.0,89.1935993746194
2016-01-10,77.82756728923232,19.16308177953092,169.3648383173267,77.82756728923232,77.82756728923232,16.92619887903454,16.92619887903454,16.92619887903454,107.59944708333333,107.59944708333333,107.59944708333333,1.3127668531525356,1.3127668531525356,1.3127668531525356,-91.98601505745133,-91.98601505745133,-91.98601505745133,0.0,0.0,0.0,94.75376616826686
2016-01-11,77.8186022843322,17.177282331379434,170.0491058285918,77.8186022843322,77.8186022843322,13.441410061998663,13.441410061998663,13.441410061998663,107.59944708333333,107.59944708333333,107.59944708333333,-2.997441708243965,-2.997441708243965,-2.997441708243965,-91.16059531309071,-91.16059531309071,-91.16059531309071,0.0,0.0,0.0,91.26001234633087
2016-01-12,77.80963727943208,11.351437600705715,170.8012618810679,77.80963727943208,77.80963727943208,14.179500330860877,14.179500330860877,14.179500330860877,107.59944708333333,107.59944708333333,107.59944708333333,-3.160557024301931,-3.160557024301931,-3.160557024301931,-90.25938972817053,-90.25938972817053,-90.25938972817053,0.0,0.0,0.0,91.98913761029296
2016-01-13,77.80067227453198,24.87878389187122,180.42232721307158,77.80067227453198,77.80067227453198,25.640670585832403,25.640670585832403,25.640670585832403,107.59944708333333,107.59944708333333,107.59944708333333,7.327441116645098,7.327441116645098,7.327441116645098,-89.28621761414603,-89.28621761414603,-89.28621761414603,0.0,0.0,0.0,103.44134286036439
2016-01-14,77.79170726963186,27.347127611271485,189.30443465686824,77.79170726963186,77.79170726963186,26.8474451503013,26.8474451503013,26.8474451503013,107.59944708333333,107.59944708333333,107.59944708333333,7.494508247935131,7.494508247935131,7.494508247935131,-88.24651018096716,-88.24651018096716,-88.24651018096716,0.0,0.0,0.0,104.63915241993315
2016-01-15,77.78274226473175,5.883213839383003,169.60650107942115,77.78274226473175,77.78274226473175,13.984401968295499,13.984401968295499,13.984401968295499,107.59944708333333,107.59944708333333,107.59944708333333,-6.467741563709466,-6.467741563709466,-6.467741563709466,-87.14730355132835,-87.14730355132835,-87.14730355132835,0.0,0.0,0.0,91.76714423302725
2016-01-16,77.77377725983163,15.256347598958694,176.89590624073145,77.77377725983163,77.77377725983163,18.093286322715816,18.093286322715816,18.093286322715816,107.59944708333333,107.59944708333333,107.59944708333333,-3.5089759214703657,-3.5089759214703657,-3.5089759214703657,-85.99718483914715,-85.99718483914715,-85.99718483914715,0.0,0.0,0.0,95.86706358254744
2016-01-17,77.76481225493151,21.430595291907462,187.80174282645007,77.76481225493151,77.76481225493151,24.10602387365955,24.10602387365955,24.10602387365955,107.59944708333333,107.59944708333333,107.59944708333333,1.3127668531540972,1.3127668531540972,1.3127668531540972,-84.80619006282787,-84.80619006282787,-84.80619006282787,0.0,0.0,0.0,101.87083612859107
2016-01-18,77.75584725003141,24.247763772854334,178.00966024303023,77.75584725003141,77.75584725003141,21.01635136665489,21.01635136665489,21.01635136665489,107.59944708333333,107.59944708333333,107.59944708333333,-2.997441708243893,-2.997441708243893,-2.997441708243893,-83.58565400843455,-83.58565400843455,-83.58565400843455,0.0,0.0,0.0,98.7721986166863
2016-01-19,77.74688224513129,13.118035785042858,176.65781106835655,77.74688224513129,77.74688224513129,22.09087650213967,22.09087650213967,22.09087650213967,107.59944708333333,107.59944708333333,107.59944708333333,-3.1605570243277987,-3.1605570243277987,-3.1605570243277987,-82.34801355686587,-82.34801355686587,-82.34801355686587,0.0,0.0,0.0,99.83775874727095
2016-01-20,77.73791724023117,28.48097427272518,186.78129152028995,77.73791724023117,77.73791724023117,33.82032079599529,33.82032079599529,33.82032079599529,107.59944708333333,107.59944708333333,107.59944708333333,7.327441116632539,7.327441116632539,7.327441116632539,-81.10656740397057,-81.10656740397057,-81.10656740397057,0.0,0.0,0.0,111.55823803622647
2016-01-21,77.72895223533106,36.22652551624867,189.31076616628016,77.72895223533106,77.72895223533106,35.21875883927921,35.21875883927921,35.21875883927921,107.59944708333333,107.59944708333333,107.59944708333333,7.494508247924669,7.494508247924669,7.494508247924669,-79.87519649197878,-79.87519649197878,-79.87519649197878,0.0,0.0,0.0,112.94771107461028
2016-01-22,77.71998723043095,19.99093048042814,177.57245546979647,77.71998723043095,77.71998723043095,22.463654726283057,22.463654726283057,22.463654726283057,107.59944708333333,107.59944708333333,107.59944708333333,-6.467741563715337,-6.467741563715337,-6.467741563715337,-78.66805079333494,-78.66805079333494,-78.66805079333494,0.0,0.0,0.0,100.183641956714
2016-01-23,77.71102222553083,27.105239724922782,179.35411652749613,77.71102222553083,77.71102222553083,26.59126185851025,26.59126185851025,26.59126185851025,107.59944708333333,107.59944708333333,107.59944708333333,-3.508975921462156,-3.508975921462156,-3.508975921462156,-77.49920930336093,-77.49920930336093,-77.49920930336093,0.0,0.0,0.0,104.30228408404108
2016-01-24,77.7020572206307,36.819862226957305,193.77585940335615,77.7020572206307,77.7020572206307,32.529892769435996,32.529892769435996,32.529892769435996,107.59944708333333,107.59944708333333,107.59944708333333,1.3127668531556593,1.3127668531556593,1.3127668531556593,-76.38232116705301,-76.38232116705301,-76.38232116705301,0.0,0.0,0.0,110.23194999006671
2016-01-25,77.6930922157306,24.95635812828876,179.23695477466134,77.6930922157306,77.6930922157306,29.2717686234482,29.2717686234482,29.2717686234482,107.59944708333333,107.59944708333333,107.59944708333333,-2.997441708243176,-2.997441708243176,-2.997441708243176,-75.33023675164195,-75.33023675164195,-75.33023675164195,0.0,0.0,0.0,106.9648608391788
2016-01-26,77.68412721083048,29.739549051328265,180.42228030031075,77.68412721083048,77.68412721083048,30.084251910185163,30.084251910185163,30.084251910185163,107.59944708333333,107.59944708333333,107.59944708333333,-3.1605570243201875,-3.1605570243201875,-3.1605570243201875,-74.35463814882799,-74.35463814882799,-74.35463814882799,0.0,0.0,0.0,107.76837912101564
2016-01-27,77.67516220593036,40.39902077651813,202.89542866437316,77.67516220593036,77.67516220593036,41.46120917814445,41.46120917814445,41.46120917814445,107.59944708333333,107.59944708333333,107.59944708333333,7.32744111664322,7.32744111664322,7.32744111664322,-73.46567902183212,-73.46567902183212,-73.46567902183212,0.0,0.0,0.0,119.1363713840748
2016-01-28,77.66619720103026,33.43450552398472,193.49384457074711,77.66619720103026,77.66619720103026,42.42231144869619,42.42231144869619,42.42231144869619,107.59944708333333,107.59944708333333,107.59944708333333,7.494508247917344,7.494508247917344,7.494508247917344,-72.67164388255449,-72.67164388255449,-72.67164388255449,0.0,0.0,0.0,120.08850864972645
2016-01-29,77.65723219613014,23.4105323469199,189.34794073588535,77.65723219613014,77.65723219613014,29.15306874059581,29.15306874059581,29.15306874059581,107.59944708333333,107.59944708333333,107.59944708333333,-6.467741563721027,-6.467741563721027,-6.467741563721027,-71.9786367790165,-71.9786367790165,-71.9786367790165,0.0,0.0,0.0,106.81030093672595
2016-01-30,77.64826719123003,36.1641897920831,194.49325290571716,77.64826719123003,77.64826719123003,32.70016217456278,32.70016217456278,32.70016217456278,107.59944708333333,107.59944708333333,107.59944708333333,-3.508975921473381,-3.508975921473381,-3.508975921473381,-71.39030898729716,-71.39030898729716,-71.39030898729716,0.0,0.0,0.0,110.34842936579281
2016-01-31,77.63930218632991,35.928168645210256,192.17838166334198,77.63930218632991,77.63930218632991,38.00457929999811,38.00457929999811,38.00457929999811,107.59944708333333,107.59944708333333,107.59944708333333,1.3127668531562124,1.3127668531562124,1.3127668531562124,-70.90763463649144,-70.90763463649144,-70.90763463649144,0.0,0.0,0.0,115.64388148632803
2016-02-01,77.63033718142981,30.925834358465025,189.11510208491882,77.63033718142981,77.63033718142981,34.07326311520876,34.07326311520876,34.07326311520876,107.59944708333333,107.59944708333333,107.59944708333333,-2.9974417082431035,-2.9974417082431035,-2.9974417082431035,-70.52874225988147,-70.52874225988147,-70.52874225988147,0.0,0.0,0.0,111.70360029663857
2016-02-02,77.62137217652969,28.908210391846684,193.17189460886698,77.62137217652969,77.62137217652969,34.190080981274775,34.190080981274775,34.190080981274775,107.59944708333333,107.59944708333333,107.59944708333333,-3.160557024312576,-3.160557024312576,-3.160557024312576,-70.24880907774599,-70.24880907774599,-70.24880907774599,0.0,0.0,0.0,111.81145315780446
2016-02-03,77.61240717162957,41.74363361720929,203.10206122154764,77.61240717162957,77.61240717162957,44.8668647974875,44.8668647974875,44.8668647974875,107.59944708333333,107.59944708333333,107.59944708333333,7.327441116653904,7.327441116653904,7.327441116653904,-70.06002340249974,-70.06002340249974,-70.06002340249974,0.0,0.0,0.0,122.47927196911706
2016-02-04,77.60344216672947,43.70728342203857,204.1002479537492,77.60344216672947,77.60344216672947,45.1423363839299,45.1423363839299,45.1423363839299,107.59944708333333,107.59944708333333,107.59944708333333,7.494508247910021,7.494508247910021,7.494508247910021,-69.95161894731345,-69.95161894731345,-69.95161894731345,0.0,0.0,0.0,122.74577855065937
2016-02-05,77.59447716182935,32.99456387406891,188.0312124604193,77.59447716182935,77.59447716182935,31.221722465995025,31.221722465995025,31.221722465995025,107.59944708333333,107.59944708333333,107.59944708333333,-6.467741563695156,-6.467741563695156,-6.467741563695156,-69.90998305364315,-69.90998305364315,-69.90998305364315,0.0,0.0,0.0,108.81619962782437
2016-02-06,77.58551215692924,34.28778698226129,192.09957576351985,77.58551215692924,77.58551215692924,34.171632186429285,34.171632186429285,34.171632186429285,107.59944708333333,107.59944708333333,107.59944708333333,-3.5089759214679863,-3.5089759214679863,-3.5089759214679863,-69.91883897543607,-69.91883897543607,-69.91883897543607,0.0,0.0,0.0,111.75714434335853
2016-02-07,77.57654715202912,33.00116097620957,200.0107666400455,77.57654715202912,77.57654715202912,38.95271352004083,38.95271352004083,38.95271352004083,107.59944708333333,107.59944708333333,107.59944708333333,1.3127668531525218,1.3127668531525218,1.3127668531525218,-69.95950041644502,-69.95950041644502,-69.95950041644502,0.0,0.0,0.0,116.52926067206995
2016-02-08,77.567582147129,33.14717132348899,191.56848175962514,77.567582147129,77.567582147129,34.59081081151042,34.59081081151042,34.59081081151042,107.59944708333333,107.59944708333333,107.59944708333333,-2.9974417082496814,-2.9974417082496814,-2.9974417082496814,-70.01119456357323,-70.01119456357323,-70.01119456357323,0.0,0.0,0.0,112.15839295863942
2016-02-09,77.5586171422289,28.93729754913221,191.02887198049575,77.5586171422289,77.5586171422289,34.387442112398254,34.387442112398254,34.387442112398254,107.59944708333333,107.59944708333333,107.59944708333333,-3.160557024311696,-3.160557024311696,-3.160557024311696,-70.05144794662338,-70.05144794662338,-70.05144794662338,0.0,0.0,0.0,111.94605925462716
2016-02-10,77.54965213732878,42.455410735143836,198.83748457742254,77.54965213732878,77.54965213732878,44.87036056326414,44.87036056326414,44.87036056326414,107.59944708333333,107.59944708333333,107.59944708333333,7.327441116641343,7.327441116641343,7.327441116641343,-70.05652763671053,-70.05652763671053,-70.05652763671053,0.0,0.0,0.0,122.42001270059292
