ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,136.31955445833333,23.90846978907954,133.89691786427352,136.31955445833333,136.31955445833333,-58.76526591539335,-58.76526591539335,-58.76526591539335,80.00769931666667,80.00769931666667,80.00769931666667,-2.9395283888338106,-2.9395283888338106,-2.9395283888338106,-135.8334368432262,-135.8334368432262,-135.8334368432262,0.0,0.0,0.0,77.55428854293999
2016-01-02,136.31360943416666,27.18034204578519,128.11382634346745,136.31360943416666,136.31360943416666,-58.89962331241752,-58.89962331241752,-58.89962331241752,80.00769931666667,80.00769931666667,80.00769931666667,-1.9278659704687338,-1.9278659704687338,-1.9278659704687338,-136.97945665861545,-136.97945665861545,-136.97945665861545,0.0,0.0,0.0,77.41398612174915
2016-01-03,136.30766441,25.172154215951444,135.015806574521,136.30766441,136.30766441,-56.64213241823876,-56.64213241823876,-56.64213241823876,80.00769931666667,80.00769931666667,80.00769931666667,1.460102900122283,1.460102900122283,1.460102900122283,-138.10993463502768,-138.10993463502768,-138.10993463502768,0.0,0.0,0.0,79.66553199176124
2016-01-04,136.30171938583334,23.75030664731676,130.69345993382544,136.30171938583334,136.30171938583334,-56.46583906886709,-56.46583906886709,-56.46583906886709,80.00769931666667,80.00769931666667,80.00769931666667,2.729824892049324,2.729824892049324,2.729824892049324,-139.20336327758307,-139.20336327758307,-139.20336327758307,0.0,0.0,0.0,79.83588031696624
2016-01-05,136.29577436166667,22.7383567212495,134.39386750636564,136.29577436166667,136.29577436166667,-57.168276072093484,-57.168276072093484,-57.168276072093484,80.00769931666667,80.00769931666667,80.00769931666667,3.061748383052617,3.061748383052617,3.061748383052617,-140.2377237718128,-140.2377237718128,-140.2377237718128,0.0,0.0,0.0,79.1274982895732
2016-01-06,136.2898293375,17.6915419627837,124.89704470467284,136.2898293375,136.2898293375,-63.47611156113895,-63.47611156113895,-63.47611156113895,80.00769931666667,80.00769931666667,80.00769931666667,-2.293017051749056,-2.293017051749056,-2.293017051749056,-141.19079382605656,-141.19079382605656,-141.19079382605656,0.0,0.0,0.0,72.81371777636106
2016-01-07,136.28388431333335,18.526934564707112,127.2067664211913,136.28388431333335,136.28388431333335,-62.12403428258763,-62.12403428258763,-62.12403428258763,80.00769931666667,80.00769931666667,80.00769931666667,-0.09126476416446755,-0.09126476416446755,-0.09126476416446755,-142.04046883508983,-142.04046883508983,-142.04046883508983,0.0,0.0,0.0,74.15985003074572
2016-01-08,136.27793928916668,15.589975045764307,129.2122909592242,136.27793928916668,136.27793928916668,-65.69692203095877,-65.69692203095877,-65.69692203095877,80.00769931666667,80.00769931666667,80.00769931666667,-2.939528388832692,-2.939528388832692,-2.939528388832692,-142.76509295879274,-142.76509295879274,-142.76509295879274,0.0,0.0,0.0,70.58101725820791
2016-01-09,136.27199426500002,14.815033110245018,127.40584050351572,136.27199426500002,136.27199426500002,-65.26396290295591,-65.26396290295591,-65.26396290295591,80.00769931666667,80.00769931666667,80.00769931666667,-1.9278659704866348,-1.9278659704866348,-1.9278659704866348,-143.34379624913595,-143.34379624913595,-143.34379624913595,0.0,0.0,0.0,71.00803136204411
2016-01-10,136.26604924083333,15.578434620977854,128.1389014487314,136.26604924083333,136.26604924083333,-62.2890312819775,-62.2890312819775,-62.2890312819775,80.00769931666667,80.00769931666667,80.00769931666667,1.4601029001175394,1.4601029001175394,1.4601029001175394,-143.75683349876172,-143.75683349876172,-143.75683349876172,0.0,0.0,0.0,73.97701795885582
2016-01-11,136.26010421666666,17.297868912075845,126.90003217493344,136.26010421666666,136.26010421666666,-61.248395835113755,-61.248395835113755,-61.248395835113755,80.00769931666667,80.00769931666667,80.00769931666667,2.729824892047757,2.729824892047757,2.729824892047757,-143.98592004382817,-143.98592004382817,-143.98592004382817,0.0,0.0,0.0,75.0117083815529
2016-01-12,136.2541591925,19.412678047470987,130.0064835251913,136.2541591925,136.2541591925,-60.94511165192483,-60.94511165192483,-60.94511165192483,80.00769931666667,80.00769931666667,80.00769931666667,3.0617483830511363,3.0617483830511363,3.0617483830511363,-144.01455935164265,-144.01455935164265,-144.01455935164265,0.0,0.0,0.0,75.30904754057516
2016-01-13,136.24821416833333,15.9081762889049,126.10216409327,136.24821416833333,136.24821416833333,-66.11367461621018,-66.11367461621018,-66.11367461621018,80.00769931666667,80.00769931666667,80.00769931666667,-2.293017051749961,-2.293017051749961,-2.293017051749961,-143.82835688112692,-143.82835688112692,-143.82835688112692,0.0,0.0,0.0,70.13453955212316
2016-01-14,136.24226914416667,15.015267404077816,127.90072449544877,136.24226914416667,136.24226914416667,-63.49887988932436,-63.49887988932436,-63.49887988932436,80.00769931666667,80.00769931666667,80.00769931666667,-0.09126476417026175,-0.09126476417026175,-0.09126476417026175,-143.41531444182075,-143.41531444182075,-143.41531444182075,0.0,0.0,0.0,72.74338925484231
