ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-01,135.44789561868936,23.663814300901034,130.50820322736243,135.44789561868936,135.44789561868936,-58.11875457830894,-58.11875457830894,-58.11875457830894,80.00769931666667,80.00769931666667,80.00769931666667,-2.2930170517503807,-2.2930170517503807,-2.2930170517503807,-135.83343684322523,-135.83343684322523,-135.83343684322523,0.0,0.0,0.0,77.32914104038042
2020-01-02,135.44927894349416,25.687423449070916,128.49840646851612,135.44927894349416,135.44927894349416,-57.06302210611418,-57.06302210611418,-57.06302210611418,80.00769931666667,80.00769931666667,80.00769931666667,-0.09126476416598761,-0.09126476416598761,-0.09126476416598761,-136.97945665861488,-136.97945665861488,-136.97945665861488,0.0,0.0,0.0,78.38625683737999
2020-01-03,135.45066226829894,15.270668905732531,128.85818328627042,135.45066226829894,135.45066226829894,-61.041763707202115,-61.041763707202115,-61.041763707202115,80.00769931666667,80.00769931666667,80.00769931666667,-2.939528388839356,-2.939528388839356,-2.939528388839356,-138.10993463502942,-138.10993463502942,-138.10993463502942,0.0,0.0,0.0,74.40889856109683
2020-01-04,135.45204559310378,20.720994032390646,134.58296084363104,135.45204559310378,135.45204559310378,-61.12352993139814,-61.12352993139814,-61.12352993139814,80.00769931666667,80.00769931666667,80.00769931666667,-1.9278659704814893,-1.9278659704814893,-1.9278659704814893,-139.20336327758332,-139.20336327758332,-139.20336327758332,0.0,0.0,0.0,74.32851566170564
2020-01-05,135.45342891790858,20.862722250837397,133.8929420292991,135.45342891790858,135.45342891790858,-58.7699215550208,-58.7699215550208,-58.7699215550208,80.00769931666667,80.00769931666667,80.00769931666667,1.4601029001254404,1.4601029001254404,1.4601029001254404,-140.2377237718129,-140.2377237718129,-140.2377237718129,0.0,0.0,0.0,76.68350736288778
2020-01-06,135.4548122427134,17.735308161404962,128.71239722099986,135.4548122427134,135.4548122427134,-58.45326961734933,-58.45326961734933,-58.45326961734933,80.00769931666667,80.00769931666667,80.00769931666667,2.729824892044759,2.729824892044759,2.729824892044759,-141.19079382606074,-141.19079382606074,-141.19079382606074,0.0,0.0,0.0,77.00154262536407
2020-01-07,135.45619556751817,21.61922001405544,134.24080942634905,135.45619556751817,135.45619556751817,-58.97102113535645,-58.97102113535645,-58.97102113535645,80.00769931666667,80.00769931666667,80.00769931666667,3.0617483830663197,3.0617483830663197,3.0617483830663197,-142.04046883508946,-142.04046883508946,-142.04046883508946,0.0,0.0,0.0,76.48517443216171
2020-01-08,135.45757889232297,19.25062523383022,127.66297410858994,135.45757889232297,135.45757889232297,-65.05041069387637,-65.05041069387637,-65.05041069387637,80.00769931666667,80.00769931666667,80.00769931666667,-2.293017051751782,-2.293017051751782,-2.293017051751782,-142.76509295879129,-142.76509295879129,-142.76509295879129,0.0,0.0,0.0,70.4071681984466
2020-01-09,135.4589622171278,16.06079504493863,129.5593368846699,135.4589622171278,135.4589622171278,-63.42736169663653,-63.42736169663653,-63.42736169663653,80.00769931666667,80.00769931666667,80.00769931666667,-0.09126476416727836,-0.09126476416727836,-0.09126476416727836,-143.34379624913592,-143.34379624913592,-143.34379624913592,0.0,0.0,0.0,72.03160052049128
2020-01-10,135.4603455419326,16.94869375165746,122.9177379261336,135.4603455419326,135.4603455419326,-66.68866257093926,-66.68866257093926,-66.68866257093926,80.00769931666667,80.00769931666667,80.00769931666667,-2.93952838884226,-2.93952838884226,-2.93952838884226,-143.75683349876368,-143.75683349876368,-143.75683349876368,0.0,0.0,0.0,68.77168297099335
2020-01-11,135.46172886673742,13.80691058578426,123.02332201267397,135.46172886673742,135.4617388776641,-65.90608669763391,-65.90608669763391,-65.90608669763391,80.00769931666667,80.00769931666667,80.00769931666667,-1.9278659704724002,-1.9278659704724002,-1.9278659704724002,-143.9859200438282,-143.9859200438282,-143.9859200438282,0.0,0.0,0.0,69.5556421691035
2020-01-12,135.4631121915422,23.862399801875,128.91733969490346,135.4631121915422,135.46313229647328,-62.54675713484556,-62.54675713484556,-62.54675713484556,80.00769931666667,80.00769931666667,80.00769931666667,1.460102900130712,1.460102900130712,1.460102900130712,-144.0145593516429,-144.0145593516429,-144.0145593516429,0.0,0.0,0.0,72.91635505669663
2020-01-13,135.464495516347,16.43587450889007,128.84182979731048,135.464495516347,135.46455564517163,-61.09083267240833,-61.09083267240833,-61.09083267240833,80.00769931666667,80.00769931666667,80.00769931666667,2.729824892051003,2.729824892051003,2.729824892051003,-143.82835688112598,-143.82835688112598,-143.82835688112598,0.0,0.0,0.0,74.37366284393866
2020-01-14,135.46587884115183,23.43249444398494,129.55284331483915,135.46587884115183,135.46604291402838,-60.34586674209237,-60.34586674209237,-60.34586674209237,80.00769931666667,80.00769931666667,80.00769931666667,3.061748383060779,3.061748383060779,3.061748383060779,-143.4153144418198,-143.4153144418198,-143.4153144418198,0.0,0.0,0.0,75.12001209905947
2020-01-15,135.46726216595664,15.217401148926823,124.50744378407542,135.46720988211,135.46757338242023,-65.05141685069646,-65.05141685069646,-65.05141685069646,80.00769931666667,80.00769931666667,80.00769931666667,-2.293017051747081,-2.293017051747081,-2.293017051747081,-142.76609911561604,-142.76609911561604,-142.76609911561604,0.0,0.0,0.0,70.41584531526019
2020-01-16,135.46864549076142,18.19147834934893,125.40466107976958,135.4685633072088,135.46907522507047,-61.95784621050131,-61.95784621050131,-61.95784621050131,80.00769931666667,80.00769931666667,80.00769931666667,-0.09126476416856927,-0.09126476416856927,-0.09126476416856927,-141.8742807629994,-141.8742807629994,-141.8742807629994,0.0,0.0,0.0,73.5107992802601
2020-01-17,135.47002881556622,20.28631344630617,129.1852665227726,135.4698774858395,135.47059578883568,-63.66836130123027,-63.66836130123027,-63.66836130123027,80.00769931666667,80.00769931666667,80.00769931666667,-2.9395283888242822,-2.9395283888242822,-2.9395283888242822,-140.73653222907265,-140.73653222907265,-140.73653222907265,0.0,0.0,0.0,71.80166751433595
2020-01-18,135.47141214037103,20.07032418851668,129.16580003816975,135.47120350998014,135.47203053363518,-61.27295326085913,-61.27295326085913,-61.27295326085913,80.00769931666667,80.00769931666667,80.00769931666667,-1.9278659704837828,-1.9278659704837828,-1.9278659704837828,-139.35278660704205,-139.35278660704205,-139.35278660704205,0.0,0.0,0.0,74.19845887951189
2020-01-19,135.47279546517586,19.170279263978056,130.97617016150767,135.4724914188659,135.47354641003517,-56.258544101112896,-56.258544101112896,-56.258544101112896,80.00769931666667,80.00769931666667,80.00769931666667,1.4601029001259689,1.4601029001259689,1.4601029001259689,-137.72634631790552,-137.72634631790552,-137.72634631790552,0.0,0.0,0.0,79.21425136406296
2020-01-20,135.47417878998067,30.32161080946252,137.59539486959326,135.47371178293415,135.47513955202498,-53.126415120665335,-53.126415120665335,-53.126415120665335,80.00769931666667,80.00769931666667,80.00769931666667,2.7298248920494363,2.7298248920494363,2.7298248920494363,-135.86393932938142,-135.86393932938142,-135.86393932938142,0.0,0.0,0.0,82.34776366931533
2020-01-21,135.47556211478545,30.791816248557,139.03377064740772,135.4748922614003,135.4766240302739,-50.70627086550875,-50.70627086550875,-50.70627086550875,80.00769931666667,80.00769931666667,80.00769931666667,3.0617483830552383,3.0617483830552383,3.0617483830552383,-133.77571856523065,-133.77571856523065,-133.77571856523065,0.0,0.0,0.0,84.7692912492767
